cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10,cls11,cls12,cls13,cls14,cls15,cls16,cls17,cls18,cls19,cls20
1756.40465,1545.317088,1696.537714,1716.376943,1703.250408,1935.490384,1594.528495,1723.92301,1670.686803,1563.373589,1756.40465,1545.317088,1696.537714,1716.376943,1703.250408,1935.490384,1594.528495,1723.92301,1670.686803,1563.373589
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1533.598133,1920.750426,1638.504799,1721.176361,1798.598195,1700.154257,1615.537325,1716.803088,1732.8187,1577.419831,1533.598133,1920.750426,1638.504799,1721.176361,1798.598195,1700.154257,1615.537325,1716.803088,1732.8187,1577.419831
1948.776939,1976.401189,1813.510054,2001.010996,1837.435192,1905.850677,1734.411483,1986.76806,1915.468248,1973.780759,1948.776939,1976.401189,1813.510054,2001.010996,1837.435192,1905.850677,1734.411483,1986.76806,1915.468248,1973.780759
2461.899396,2640.460658,2285.166422,2475.967581,2611.028814,2371.883586,2364.399338,2361.03082,2539.76269,2296.561623,2461.899396,2640.460658,2285.166422,2475.967581,2611.028814,2371.883586,2364.399338,2361.03082,2539.76269,2296.561623
